№,Улица (от),Дом (от),Широта (от),Долгота (от),Улица (до),Дом (до),Широта (до),Долгота (до),Длительность (сек)
184,Бармалеева,13,30.305735,59.964503,Большой просп. ВО,85,30.250614000000002,59.930178000000005,798.5454545454545
185,Бармалеева,13,30.305735,59.964503,Будапештская,3,30.36382,59.873704000000004,2384.181818181818
186,Бармалеева,13,30.305735,59.964503,Вавиловых,14,30.390563,60.024752,1897.0
187,Бармалеева,13,30.305735,59.964503,Динамо пр.,3,30.279864,59.972699,598.7272727272727
188,Бармалеева,13,30.305735,59.964503,Загородный просп.,47,30.321195,59.921804,1290.909090909091
189,Бармалеева,13,30.305735,59.964503,Костюшко,2,30.295701,59.849212,2478.181818181818
190,Бармалеева,13,30.305735,59.964503,Кузнецовская,25,30.332577,59.87143199999999,2059.909090909091
191,Бармалеева,13,30.305735,59.964503,Литейный просп.,56,30.349456,59.935069999999996,935.8181818181819
192,Бармалеева,13,30.305735,59.964503,Луначарского пр.,47,30.360164,60.036281,2045.909090909091
193,Бармалеева,13,30.305735,59.964503,Льва Толстого,6/8,30.321859999999997,59.965309,419.1818181818182
194,Бармалеева,13,30.305735,59.964503,Мечникова пр.,27,30.410891999999997,59.986982999999995,1448.7272727272727
195,Бармалеева,13,30.305735,59.964503,Народная,21,30.468124,59.879137,1856.1818181818182
196,Бармалеева,13,30.305735,59.964503,Оптиков,54,30.199033,60.000713,1748.090909090909
197,Бармалеева,13,30.305735,59.964503,Пискаревский просп.,47,30.431328999999998,59.983422999999995,1534.4545454545455
198,Бармалеева,13,30.305735,59.964503,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,2687.2727272727275
199,Бармалеева,13,30.305735,59.964503,Солидарности просп.,4,30.490114000000002,59.92828000000001,2073.818181818182
200,Бармалеева,13,30.305735,59.964503,Учебный пер.,5,30.336763,60.037252,1945.2727272727273
201,Бармалеева,13,30.305735,59.964503,наб. реки Фонтанки,154,30.28255,59.915765,1334.1818181818182
202,Бассейная,83,30.349564,59.864548,Большой просп. ВО,85,30.250614000000002,59.930178000000005,2004.111111111111
203,Бассейная,83,30.349564,59.864548,Будапештская,3,30.36382,59.873704000000004,691.7777777777778
204,Бассейная,83,30.349564,59.864548,Вавиловых,14,30.390563,60.024752,3201.3333333333335
205,Бассейная,83,30.349564,59.864548,Динамо пр.,3,30.279864,59.972699,2494.4444444444443
206,Бассейная,83,30.349564,59.864548,Загородный просп.,47,30.321195,59.921804,807.5555555555555
207,Бассейная,83,30.349564,59.864548,Костюшко,2,30.295701,59.849212,996.8888888888889
208,Бассейная,83,30.349564,59.864548,Кузнецовская,25,30.332577,59.87143199999999,345.77777777777777
209,Бассейная,83,30.349564,59.864548,Литейный просп.,56,30.349456,59.935069999999996,1347.2222222222222
210,Бассейная,83,30.349564,59.864548,Луначарского пр.,47,30.360164,60.036281,3295.222222222222
211,Бассейная,83,30.349564,59.864548,Льва Толстого,6/8,30.321859999999997,59.965309,2102.5555555555557
212,Бассейная,83,30.349564,59.864548,Народная,21,30.468124,59.879137,1038.5555555555557
213,Бассейная,83,30.349564,59.864548,Оптиков,54,30.199033,60.000713,2994.777777777778
214,Бассейная,83,30.349564,59.864548,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,3924.5555555555557
215,Бассейная,83,30.349564,59.864548,Солидарности просп.,4,30.490114000000002,59.92828000000001,1870.888888888889
216,Бассейная,83,30.349564,59.864548,Учебный пер.,5,30.336763,60.037252,3303.777777777778
217,Бассейная,83,30.349564,59.864548,наб. реки Фонтанки,154,30.28255,59.915765,1212.2222222222222
218,Белградская,10к1,30.360091999999998,59.868311,Большой просп. ВО,85,30.250614000000002,59.930178000000005,2148.4545454545455
219,Белградская,10к1,30.360091999999998,59.868311,Будапештская,3,30.36382,59.873704000000004,611.2727272727273
220,Белградская,10к1,30.360091999999998,59.868311,Вавиловых,14,30.390563,60.024752,3324.090909090909
221,Белградская,10к1,30.360091999999998,59.868311,Динамо пр.,3,30.279864,59.972699,2511.0
222,Белградская,10к1,30.360091999999998,59.868311,Загородный просп.,47,30.321195,59.921804,1009.3636363636364
223,Белградская,10к1,30.360091999999998,59.868311,Костюшко,2,30.295701,59.849212,1560.1818181818182
224,Белградская,10к1,30.360091999999998,59.868311,Кузнецовская,25,30.332577,59.87143199999999,712.8181818181819
225,Белградская,10к1,30.360091999999998,59.868311,Литейный просп.,56,30.349456,59.935069999999996,1483.6363636363637
226,Белградская,10к1,30.360091999999998,59.868311,Луначарского пр.,47,30.360164,60.036281,3416.7272727272725
227,Белградская,10к1,30.360091999999998,59.868311,Льва Толстого,6/8,30.321859999999997,59.965309,2385.4545454545455
228,Белградская,10к1,30.360091999999998,59.868311,Народная,21,30.468124,59.879137,1209.4545454545455
229,Белградская,10к1,30.360091999999998,59.868311,Оптиков,54,30.199033,60.000713,3111.090909090909
230,Белградская,10к1,30.360091999999998,59.868311,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,4048.2727272727275
231,Белградская,10к1,30.360091999999998,59.868311,Солидарности просп.,4,30.490114000000002,59.92828000000001,2022.0
232,Белградская,10к1,30.360091999999998,59.868311,Учебный пер.,5,30.336763,60.037252,3433.090909090909
233,Белградская,10к1,30.360091999999998,59.868311,наб. реки Фонтанки,154,30.28255,59.915765,1446.2727272727273
234,Белы Куна,2к1,30.373711,59.869399,Большой просп. ВО,85,30.250614000000002,59.930178000000005,2251.818181818182
235,Белы Куна,2к1,30.373711,59.869399,Будапештская,3,30.36382,59.873704000000004,511.45454545454544
236,Белы Куна,2к1,30.373711,59.869399,Вавиловых,14,30.390563,60.024752,3015.818181818182
237,Белы Куна,2к1,30.373711,59.869399,Динамо пр.,3,30.279864,59.972699,2609.8333333333335
238,Белы Куна,2к1,30.373711,59.869399,Загородный просп.,47,30.321195,59.921804,1112.8181818181818
