№,Улица (от),Дом (от),Широта (от),Долгота (от),Улица (до),Дом (до),Широта (до),Долгота (до),Длительность (сек)
156,Асафьева,12к1,30.328785999999997,60.04866,Мечникова пр.,27,30.410891999999997,59.986982999999995,1925.1818181818182
157,Асафьева,12к1,30.328785999999997,60.04866,Народная,21,30.468124,59.879137,2719.909090909091
158,Асафьева,12к1,30.328785999999997,60.04866,Оптиков,54,30.199033,60.000713,2190.3636363636365
159,Асафьева,12к1,30.328785999999997,60.04866,Пискаревский просп.,47,30.431328999999998,59.983422999999995,2492.5454545454545
160,Асафьева,12к1,30.328785999999997,60.04866,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,2802.6363636363635
161,Асафьева,12к1,30.328785999999997,60.04866,Учебный пер.,5,30.336763,60.037252,915.9090909090909
162,Асафьева,12к1,30.328785999999997,60.04866,наб. реки Фонтанки,154,30.28255,59.915765,3167.0
163,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Большой просп. ВО,85,30.250614000000002,59.930178000000005,3899.4285714285716
164,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Будапештская,3,30.36382,59.873704000000004,1960.5714285714287
165,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Вавиловых,14,30.390563,60.024752,3941.285714285714
166,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Динамо пр.,3,30.279864,59.972699,4570.0
167,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Загородный просп.,47,30.321195,59.921804,2845.4285714285716
168,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Костюшко,2,30.295701,59.849212,1752.142857142857
169,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Кузнецовская,25,30.332577,59.87143199999999,1459.2857142857142
170,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Литейный просп.,56,30.349456,59.935069999999996,3750.285714285714
171,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Луначарского пр.,47,30.360164,60.036281,3247.0
172,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Льва Толстого,6/8,30.321859999999997,59.965309,4200.857142857143
173,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Мечникова пр.,27,30.410891999999997,59.986982999999995,3188.714285714286
174,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Народная,21,30.468124,59.879137,1720.142857142857
175,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Оптиков,54,30.199033,60.000713,5419.0
176,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Пискаревский просп.,47,30.431328999999998,59.983422999999995,3407.5714285714284
177,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,4285.0
178,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Солидарности просп.,4,30.490114000000002,59.92828000000001,2296.714285714286
179,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Учебный пер.,5,30.336763,60.037252,3319.4285714285716
180,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,наб. реки Фонтанки,154,30.28255,59.915765,3043.5714285714284
181,Бадаева,11,30.443114,59.920975,Большой просп. ВО,85,30.250614000000002,59.930178000000005,3237.722222222222
182,Бадаева,11,30.443114,59.920975,Будапештская,3,30.36382,59.873704000000004,2217.6666666666665
183,Бадаева,11,30.443114,59.920975,Вавиловых,14,30.390563,60.024752,2872.222222222222
184,Бадаева,11,30.443114,59.920975,Динамо пр.,3,30.279864,59.972699,3089.5555555555557
185,Бадаева,11,30.443114,59.920975,Загородный просп.,47,30.321195,59.921804,2387.5
186,Бадаева,11,30.443114,59.920975,Костюшко,2,30.295701,59.849212,3012.722222222222
187,Бадаева,11,30.443114,59.920975,Кузнецовская,25,30.332577,59.87143199999999,2290.9444444444443
188,Бадаева,11,30.443114,59.920975,Литейный просп.,56,30.349456,59.935069999999996,2161.5555555555557
189,Бадаева,11,30.443114,59.920975,Луначарского пр.,47,30.360164,60.036281,2991.6666666666665
190,Бадаева,11,30.443114,59.920975,Льва Толстого,6/8,30.321859999999997,59.965309,2442.777777777778
191,Бадаева,11,30.443114,59.920975,Мечникова пр.,27,30.410891999999997,59.986982999999995,2164.3333333333335
192,Бадаева,11,30.443114,59.920975,Народная,21,30.468124,59.879137,1371.611111111111
193,Бадаева,11,30.443114,59.920975,Оптиков,54,30.199033,60.000713,3171.277777777778
194,Бадаева,11,30.443114,59.920975,Пискаревский просп.,47,30.431328999999998,59.983422999999995,1950.8333333333333
195,Бадаева,11,30.443114,59.920975,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,4151.222222222223
196,Бадаева,11,30.443114,59.920975,Солидарности просп.,4,30.490114000000002,59.92828000000001,972.7222222222222
197,Бадаева,11,30.443114,59.920975,Учебный пер.,5,30.336763,60.037252,3201.1111111111113
198,Бадаева,11,30.443114,59.920975,наб. реки Фонтанки,154,30.28255,59.915765,3066.8888888888887
199,Бармалеева,13,30.305735,59.964503,Большой просп. ВО,85,30.250614000000002,59.930178000000005,1045.6666666666667
200,Бармалеева,13,30.305735,59.964503,Будапештская,3,30.36382,59.873704000000004,2885.777777777778
201,Бармалеева,13,30.305735,59.964503,Вавиловых,14,30.390563,60.024752,2075.1666666666665
202,Бармалеева,13,30.305735,59.964503,Динамо пр.,3,30.279864,59.972699,677.2777777777778
203,Бармалеева,13,30.305735,59.964503,Загородный просп.,47,30.321195,59.921804,1718.7777777777778
204,Бармалеева,13,30.305735,59.964503,Костюшко,2,30.295701,59.849212,3118.3888888888887
205,Бармалеева,13,30.305735,59.964503,Кузнецовская,25,30.332577,59.87143199999999,2517.777777777778
206,Бармалеева,13,30.305735,59.964503,Литейный просп.,56,30.349456,59.935069999999996,1245.1666666666667
207,Бармалеева,13,30.305735,59.964503,Луначарского пр.,47,30.360164,60.036281,2259.0555555555557
208,Бармалеева,13,30.305735,59.964503,Льва Толстого,6/8,30.321859999999997,59.965309,453.8333333333333
209,Бармалеева,13,30.305735,59.964503,Мечникова пр.,27,30.410891999999997,59.986982999999995,1578.5555555555557
210,Бармалеева,13,30.305735,59.964503,Народная,21,30.468124,59.879137,2485.6111111111113
211,Бармалеева,13,30.305735,59.964503,Оптиков,54,30.199033,60.000713,1729.8333333333333
212,Бармалеева,13,30.305735,59.964503,Пискаревский просп.,47,30.431328999999998,59.983422999999995,1672.888888888889
213,Бармалеева,13,30.305735,59.964503,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,2695.4444444444443
214,Бармалеева,13,30.305735,59.964503,Солидарности просп.,4,30.490114000000002,59.92828000000001,2575.777777777778
215,Бармалеева,13,30.305735,59.964503,Учебный пер.,5,30.336763,60.037252,2122.6111111111113
216,Бармалеева,13,30.305735,59.964503,наб. реки Фонтанки,154,30.28255,59.915765,1748.388888888889
217,Бассейная,83,30.349564,59.864548,Большой просп. ВО,85,30.250614000000002,59.930178000000005,2669.6666666666665
218,Бассейная,83,30.349564,59.864548,Будапештская,3,30.36382,59.873704000000004,770.1111111111111
219,Бассейная,83,30.349564,59.864548,Вавиловых,14,30.390563,60.024752,3811.222222222222
220,Бассейная,83,30.349564,59.864548,Динамо пр.,3,30.279864,59.972699,3220.3333333333335
221,Бассейная,83,30.349564,59.864548,Загородный просп.,47,30.321195,59.921804,1196.7777777777778
222,Бассейная,83,30.349564,59.864548,Костюшко,2,30.295701,59.849212,1172.3333333333333
223,Бассейная,83,30.349564,59.864548,Кузнецовская,25,30.332577,59.87143199999999,370.27777777777777
224,Бассейная,83,30.349564,59.864548,Литейный просп.,56,30.349456,59.935069999999996,1615.0
225,Бассейная,83,30.349564,59.864548,Луначарского пр.,47,30.360164,60.036281,3906.9444444444443
226,Бассейная,83,30.349564,59.864548,Льва Толстого,6/8,30.321859999999997,59.965309,2757.8333333333335
227,Бассейная,83,30.349564,59.864548,Народная,21,30.468124,59.879137,1083.0555555555557
228,Бассейная,83,30.349564,59.864548,Оптиков,54,30.199033,60.000713,3410.0555555555557
229,Бассейная,83,30.349564,59.864548,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,4373.777777777777
230,Бассейная,83,30.349564,59.864548,Солидарности просп.,4,30.490114000000002,59.92828000000001,1968.2222222222222
231,Бассейная,83,30.349564,59.864548,Учебный пер.,5,30.336763,60.037252,3950.777777777778
232,Бассейная,83,30.349564,59.864548,наб. реки Фонтанки,154,30.28255,59.915765,1907.7777777777778
233,Белградская,10к1,30.360091999999998,59.868311,Большой просп. ВО,85,30.250614000000002,59.930178000000005,2949.0
234,Белградская,10к1,30.360091999999998,59.868311,Будапештская,3,30.36382,59.873704000000004,609.2777777777778
235,Белградская,10к1,30.360091999999998,59.868311,Вавиловых,14,30.390563,60.024752,3882.8888888888887
236,Белградская,10к1,30.360091999999998,59.868311,Динамо пр.,3,30.279864,59.972699,2959.75
237,Белградская,10к1,30.360091999999998,59.868311,Загородный просп.,47,30.321195,59.921804,1367.9444444444443
238,Белградская,10к1,30.360091999999998,59.868311,Костюшко,2,30.295701,59.849212,1790.8333333333333
239,Белградская,10к1,30.360091999999998,59.868311,Кузнецовская,25,30.332577,59.87143199999999,734.7777777777778
240,Белградская,10к1,30.360091999999998,59.868311,Литейный просп.,56,30.349456,59.935069999999996,1750.6666666666667
241,Белградская,10к1,30.360091999999998,59.868311,Луначарского пр.,47,30.360164,60.036281,4018.8333333333335
242,Белградская,10к1,30.360091999999998,59.868311,Льва Толстого,6/8,30.321859999999997,59.965309,2736.722222222222
243,Белградская,10к1,30.360091999999998,59.868311,Народная,21,30.468124,59.879137,1253.388888888889
244,Белградская,10к1,30.360091999999998,59.868311,Оптиков,54,30.199033,60.000713,3508.5
245,Белградская,10к1,30.360091999999998,59.868311,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,4476.333333333333
