№,Улица (от),Дом (от),Широта (от),Долгота (от),Улица (до),Дом (до),Широта (до),Долгота (до),Длительность (сек)
199,Бармалеева,13,30.305735,59.964503,Солидарности просп.,4,30.490114000000002,59.92828000000001,2004.875
200,Бармалеева,13,30.305735,59.964503,Учебный пер.,5,30.336763,60.037252,1697.125
201,Бармалеева,13,30.305735,59.964503,наб. реки Фонтанки,154,30.28255,59.915765,1213.875
202,Бассейная,83,30.349564,59.864548,Большой просп. ВО,85,30.250614000000002,59.930178000000005,1914.875
203,Бассейная,83,30.349564,59.864548,Будапештская,3,30.36382,59.873704000000004,685.375
204,Бассейная,83,30.349564,59.864548,Вавиловых,14,30.390563,60.024752,2906.75
205,Бассейная,83,30.349564,59.864548,Динамо пр.,3,30.279864,59.972699,2272.5
206,Бассейная,83,30.349564,59.864548,Загородный просп.,47,30.321195,59.921804,799.5
207,Бассейная,83,30.349564,59.864548,Костюшко,2,30.295701,59.849212,1001.625
208,Бассейная,83,30.349564,59.864548,Кузнецовская,25,30.332577,59.87143199999999,335.125
209,Бассейная,83,30.349564,59.864548,Литейный просп.,56,30.349456,59.935069999999996,1149.0
210,Бассейная,83,30.349564,59.864548,Луначарского пр.,47,30.360164,60.036281,2997.625
211,Бассейная,83,30.349564,59.864548,Льва Толстого,6/8,30.321859999999997,59.965309,1872.875
212,Бассейная,83,30.349564,59.864548,Народная,21,30.468124,59.879137,985.25
213,Бассейная,83,30.349564,59.864548,Оптиков,54,30.199033,60.000713,2717.375
214,Бассейная,83,30.349564,59.864548,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,3625.5
215,Бассейная,83,30.349564,59.864548,Солидарности просп.,4,30.490114000000002,59.92828000000001,1796.0
216,Бассейная,83,30.349564,59.864548,Учебный пер.,5,30.336763,60.037252,2895.5
217,Бассейная,83,30.349564,59.864548,наб. реки Фонтанки,154,30.28255,59.915765,1170.25
218,Белградская,10к1,30.360091999999998,59.868311,Большой просп. ВО,85,30.250614000000002,59.930178000000005,2092.25
219,Белградская,10к1,30.360091999999998,59.868311,Будапештская,3,30.36382,59.873704000000004,608.125
220,Белградская,10к1,30.360091999999998,59.868311,Вавиловых,14,30.390563,60.024752,3121.625
221,Белградская,10к1,30.360091999999998,59.868311,Динамо пр.,3,30.279864,59.972699,2443.3333333333335
222,Белградская,10к1,30.360091999999998,59.868311,Загородный просп.,47,30.321195,59.921804,1000.125
223,Белградская,10к1,30.360091999999998,59.868311,Костюшко,2,30.295701,59.849212,1522.5
224,Белградская,10к1,30.360091999999998,59.868311,Кузнецовская,25,30.332577,59.87143199999999,703.625
225,Белградская,10к1,30.360091999999998,59.868311,Литейный просп.,56,30.349456,59.935069999999996,1340.625
226,Белградская,10к1,30.360091999999998,59.868311,Луначарского пр.,47,30.360164,60.036281,3211.125
227,Белградская,10к1,30.360091999999998,59.868311,Льва Толстого,6/8,30.321859999999997,59.965309,2192.75
228,Белградская,10к1,30.360091999999998,59.868311,Народная,21,30.468124,59.879137,1169.125
229,Белградская,10к1,30.360091999999998,59.868311,Оптиков,54,30.199033,60.000713,2924.0
230,Белградская,10к1,30.360091999999998,59.868311,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,3828.25
231,Белградская,10к1,30.360091999999998,59.868311,Солидарности просп.,4,30.490114000000002,59.92828000000001,1996.75
232,Белградская,10к1,30.360091999999998,59.868311,Учебный пер.,5,30.336763,60.037252,3109.75
233,Белградская,10к1,30.360091999999998,59.868311,наб. реки Фонтанки,154,30.28255,59.915765,1380.625
234,Белы Куна,2к1,30.373711,59.869399,Большой просп. ВО,85,30.250614000000002,59.930178000000005,2164.5
235,Белы Куна,2к1,30.373711,59.869399,Будапештская,3,30.36382,59.873704000000004,476.5
236,Белы Куна,2к1,30.373711,59.869399,Вавиловых,14,30.390563,60.024752,2883.25
237,Белы Куна,2к1,30.373711,59.869399,Динамо пр.,3,30.279864,59.972699,2507.3333333333335
238,Белы Куна,2к1,30.373711,59.869399,Загородный просп.,47,30.321195,59.921804,1073.75
239,Белы Куна,2к1,30.373711,59.869399,Костюшко,2,30.295701,59.849212,1596.25
240,Белы Куна,2к1,30.373711,59.869399,Кузнецовская,25,30.332577,59.87143199999999,778.5
241,Белы Куна,2к1,30.373711,59.869399,Литейный просп.,56,30.349456,59.935069999999996,1417.125
242,Белы Куна,2к1,30.373711,59.869399,Луначарского пр.,47,30.360164,60.036281,2978.5
243,Белы Куна,2к1,30.373711,59.869399,Льва Толстого,6/8,30.321859999999997,59.965309,2256.125
244,Белы Куна,2к1,30.373711,59.869399,Мечникова пр.,27,30.410891999999997,59.986982999999995,2136.625
245,Белы Куна,2к1,30.373711,59.869399,Народная,21,30.468124,59.879137,927.875
246,Белы Куна,2к1,30.373711,59.869399,Оптиков,54,30.199033,60.000713,2998.625
247,Белы Куна,2к1,30.373711,59.869399,Пискаревский просп.,47,30.431328999999998,59.983422999999995,2005.75
248,Белы Куна,2к1,30.373711,59.869399,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,3904.75
249,Белы Куна,2к1,30.373711,59.869399,Солидарности просп.,4,30.490114000000002,59.92828000000001,1755.375
250,Белы Куна,2к1,30.373711,59.869399,Учебный пер.,5,30.336763,60.037252,3182.625
